place_id,name,dow,day,hour,busyness_pct,level,model_version
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,5,23,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,6,27,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,7,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,8,18,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,9,23,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,10,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,11,32,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,12,37,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,13,41,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,14,39,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,15,38,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,16,33,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,17,47,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,18,62,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,19,75,very_busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,20,53,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,21,60,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,22,63,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,23,48,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,0,30,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,1,20,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,2,15,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,3,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,4,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,5,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,6,21,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,7,25,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,8,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,9,24,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,10,19,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,11,28,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,12,44,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,13,55,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,14,72,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,15,69,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,16,61,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,5,saturday,17,52,busy,gbm_v1
