bbl,latitude,longitude,bldgclass,landuse,lotarea,bldgarea,numfloors,unitsres,unitstotal,yearbuilt,footprint_area
1015800006.0,40.7739199,-73.9478217,C6,2.0,2554.0,9190.0,5.0,16.0,16.0,1910.0,1838.0
1015800018.0,40.7735215,-73.9468725,C1,2.0,2554.0,9185.0,5.0,15.0,15.0,1915.0,1837.0
1015800037.0,40.7738371,-73.9468469,C4,2.0,2554.0,7970.0,5.0,10.0,10.0,1920.0,1594.0
1015800041.0,40.7739718,-73.9471646,C4,2.0,2554.0,7970.0,5.0,10.0,10.0,1920.0,1594.0
1015800046.0,40.7741394,-73.9475616,C4,2.0,2554.0,8065.0,5.0,10.0,10.0,1910.0,1613.0
1015800047.0,40.7741723,-73.9476374,C4,2.0,2554.0,8080.0,5.0,10.0,10.0,1910.0,1616.0
1015800049.0,40.7744003,-73.9478899,C7,4.0,1898.0,8480.0,5.0,12.0,14.0,1910.0,1696.0
1015800127.0,40.7734416,-73.9461902,D7,4.0,1657.0,9450.0,5.0,12.0,13.0,1910.0,1890.0
1015800002.0,40.7740271,-73.9481646,C7,4.0,1869.0,7700.0,5.0,8.0,10.0,1910.0,1540.0
1015800019.0,40.7734885,-73.9467931,C6,2.0,2554.0,9185.0,5.0,15.0,15.0,1915.0,1837.0
1015790034.0,40.7731016,-73.9470822,C4,2.0,2554.0,8230.0,5.0,11.0,11.0,1941.0,1646.0
1015790002.0,40.7734152,-73.9485947,D1,3.0,4680.0,18852.0,5.0,30.0,30.0,1920.0,3770.4
1015800011.0,40.7737523,-73.9474247,D3,3.0,2554.0,11060.0,5.0,17.0,17.0,1915.0,2212.0
1015790136.0,40.7731676,-73.9472374,C1,2.0,2550.0,8164.0,5.0,10.0,10.0,1900.0,1632.8
1015630024.0,40.7743155,-73.9486554,C1,2.0,1951.0,7840.0,5.0,20.0,20.0,1915.0,1568.0
1015630027.0,40.7744994,-73.9485289,C7,4.0,1975.0,7900.0,5.0,8.0,9.0,1915.0,1580.0
1015790043.0,40.7734011,-73.9477896,C1,2.0,2554.0,8620.0,5.0,11.0,11.0,1910.0,1724.0
1015620003.0,40.7744016,-73.950818,C7,4.0,2000.0,8050.0,5.0,17.0,19.0,1920.0,1610.0
1015620039.0,40.7743408,-73.9500129,C1,2.0,2554.0,7845.0,5.0,11.0,11.0,1915.0,1569.0
1015800051.0,40.7742713,-73.9479839,C7,4.0,1843.0,7700.0,5.0,16.0,17.0,1910.0,1540.0
1015790015.0,40.7729289,-73.9474434,D4,3.0,11170.0,95642.0,13.0,94.0,94.0,1962.0,7357.076923076923
1015790013.0,40.773058,-73.9477538,C1,2.0,2724.0,9710.0,5.0,15.0,15.0,1910.0,1942.0
1015790033.0,40.7730687,-73.9469992,C1,2.0,2554.0,8230.0,5.0,22.0,22.0,1910.0,1646.0
1015790014.0,40.7730223,-73.9476635,C5,2.0,2963.0,9425.0,5.0,20.0,20.0,1910.0,1885.0
